Stock_symbol,Date,open,close
RTXE,2019-01-02,38.72249984741211,39.47999954223633
SVGH,2019-01-03,35.994998931884766,35.54750061035156
XSZI,2019-01-04,36.13249969482422,37.06499862670898
HCLV,2019-01-07,37.17499923706055,36.98249816894531
WFZS,2019-01-08,37.38999938964844,37.6875
NOPI,2019-01-09,37.8224983215332,38.32749938964844
OIZV,2019-01-10,38.125,38.45000076293945
TBQM,2019-01-11,38.220001220703125,38.0724983215332
SZTO,2019-01-14,37.712501525878906,37.5
IBTA,2019-01-15,37.567501068115234,38.26750183105469
SRZD,2019-01-16,38.27000045776367,38.73500061035156
DJEC,2019-01-17,38.54999923706055,38.96500015258789
TQZO,2019-01-18,39.375,39.20500183105469
OANN,2019-01-22,39.102500915527344,38.32500076293945
NTWF,2019-01-23,38.53749847412109,38.47999954223633
HOIT,2019-01-24,38.52750015258789,38.17499923706055
YFHR,2019-01-25,38.869998931884766,39.43999862670898
QJGQ,2019-01-28,38.9474983215332,39.07500076293945
GIOY,2019-01-29,39.0625,38.66999816894531
GGEW,2019-01-30,40.8125,41.3125
XIBW,2019-01-31,41.52750015258789,41.61000061035156
VNTD,2019-02-01,41.7400016784668,41.630001068115234
JBVY,2019-02-04,41.852500915527344,42.8125
KTDP,2019-02-05,43.21500015258789,43.54499816894531
GKJS,2019-02-06,43.66249847412109,43.560001373291016
NRKS,2019-02-07,43.09999847412109,42.73500061035156
WMUW,2019-02-08,42.247501373291016,42.602500915527344
AYJW,2019-02-11,42.76250076293945,42.35749816894531
QBDZ,2019-02-12,42.525001525878906,42.72249984741211
ZWTA,2019-02-13,42.84749984741211,42.54499816894531
AMPF,2019-02-14,42.4275016784668,42.70000076293945
FEXI,2019-02-15,42.8125,42.60499954223633
DLKJ,2019-02-19,42.4275016784668,42.73249816894531
OGOW,2019-02-20,42.79750061035156,43.00749969482422
KLHQ,2019-02-21,42.95000076293945,42.76499938964844
FWCX,2019-02-22,42.89500045776367,43.24250030517578
QLLF,2019-02-25,43.540000915527344,43.557498931884766
NMJT,2019-02-26,43.4275016784668,43.58250045776367
HWLC,2019-02-27,43.3025016784668,43.71749877929688
CCHW,2019-02-28,43.58000183105469,43.28749847412109
